Time_us,Ticks,PWM
9,0,0
1844,0,0
3583,0,0
5310,0,0
7041,0,0
8769,0,0
10503,0,0
12229,0,0
13961,0,0
15687,0,0
17419,0,0
19145,0,0
20877,0,0
22608,0,0
24346,0,0
26072,0,0
27803,0,0
29535,0,0
31267,0,0
32993,0,0
34729,0,0
36459,0,0
38195,0,0
39921,0,0
41653,0,0
43380,0,0
45111,0,0
46838,0,0
48573,0,0
50301,0,0
52034,0,0
53760,0,0
55494,0,0
57221,0,0
58952,0,0
60679,0,0
62413,0,0
64139,0,0
65871,0,0
67600,0,0
69334,0,0
71063,0,0
72795,0,0
74528,0,0
76260,0,0
77986,0,0
79722,0,0
81453,0,0
83189,0,0
84916,0,0
86648,0,0
88377,0,0
90109,0,0
91835,0,0
93571,0,0
95299,0,0
97031,0,0
98760,0,0
100494,0,0
102222,0,0
103954,0,0
105682,0,0
107416,0,0
109143,0,0
110875,0,0
112606,0,0
114346,0,0
116073,0,0
117805,0,0
119536,0,0
121269,0,0
122996,0,0
124732,0,0
126464,0,0
128201,0,0
129928,0,0
131660,0,0
133388,0,0
135120,0,0
136848,0,0
138586,0,0
140316,0,0
142048,0,0
143776,0,0
145511,0,0
147239,0,0
148971,0,0
150701,0,0
152434,0,0
154161,0,0
155893,0,0
157621,0,0
159354,0,0
161082,0,0
162814,0,0
164547,0,0
166279,0,0
168006,0,0
169742,0,0
171474,0,0
173211,0,0
174938,0,0
176670,0,0
178402,0,0
180134,0,0
181861,0,0
183601,0,0
185330,0,0
187066,0,0
188796,0,0
190536,0,0
192264,0,0
193996,0,0
195728,0,0
197464,0,0
199196,0,0
200928,0,0
202656,0,0
204388,0,0
206116,0,0
207848,0,0
209577,0,0
211311,0,0
213039,0,0
214771,0,0
216504,0,0
218236,0,0
219964,0,0
221700,0,0
223427,0,0
225160,0,0
226887,0,0
228620,0,0
230349,0,0
232081,0,0
233809,0,0
235546,0,0
237273,0,0
239006,0,0
240738,0,0
242474,0,0
244206,0,0
245938,0,0
247666,0,0
249402,0,0
251129,0,0
