Time_us,Ticks,PWM
8,0,0
1838,0,0
3582,0,0
5315,0,0
7050,0,0
8786,0,0
10527,0,0
12260,0,0
13996,0,0
15733,0,0
17473,0,0
19208,0,0
20944,0,0
22677,0,0
24416,0,0
26149,0,0
27885,0,0
29618,0,0
31356,0,0
33088,0,0
34825,0,0
36561,0,0
38298,0,0
40032,0,0
41770,0,0
43507,0,0
45243,0,0
46976,0,0
48717,0,0
50454,0,0
52194,0,0
53927,0,0
55663,0,0
57399,0,0
59135,0,0
60868,0,0
62606,0,0
64346,0,0
66082,0,0
67815,0,0
69558,0,0
71290,0,0
73027,0,0
74761,0,0
76503,0,0
78236,0,0
79972,0,0
81705,0,0
83450,0,0
85186,0,0
86923,0,0
88655,0,0
90392,0,0
92125,0,0
93861,0,0
95598,0,0
97337,0,0
99070,0,0
100806,0,0
102544,0,0
104281,0,0
106015,0,0
107754,0,0
109494,0,0
111231,0,0
112965,0,0
114704,0,0
116442,0,0
118184,0,0
119917,0,0
121655,0,0
123388,0,0
125126,0,0
126859,0,0
128604,0,0
130346,0,0
132083,0,0
133817,0,0
135559,0,0
137293,0,0
139031,0,0
140767,0,0
142507,0,0
144240,0,0
145977,0,0
147715,0,0
149457,0,0
151194,0,0
152931,0,0
154665,0,0
156404,0,0
158137,0,0
159874,0,0
161610,0,0
163349,0,0
165083,0,0
166820,0,0
168559,0,0
170297,0,0
172031,0,0
173770,0,0
175508,0,0
177245,0,0
178979,0,0
180720,0,0
182458,0,0
184199,0,0
185933,0,0
187670,0,0
189405,0,0
191142,0,0
192875,0,0
194615,0,0
196350,0,0
198087,0,0
199820,0,0
201561,0,0
203295,0,0
205033,0,0
206768,0,0
208508,0,0
210242,0,0
211979,0,0
213717,0,0
215458,0,0
217196,0,0
218933,0,0
220666,0,0
222405,0,0
224139,0,0
225876,0,0
227614,0,0
229352,0,0
231085,0,0
232822,0,0
234561,0,0
236299,0,0
238034,0,0
239771,0,0
241508,0,0
243245,0,0
244979,0,0
246720,0,0
248458,0,0
250199,0,0
251933,0,0
253670,0,0
255405,0,0
257142,0,0
258876,0,0
260617,0,0
262351,0,0
264088,0,0
265822,0,0
267562,0,0
269296,0,0
271034,0,0
272770,0,0
274511,0,0
276245,0,0
277982,0,0
279720,0,0
281461,0,0
283199,0,0
284936,0,0
286669,0,0
288409,0,0
290143,0,0
291880,0,0
293617,0,0
295355,0,0
297088,0,0
298825,0,0
300562,0,0
302300,0,0
304035,0,0
305772,0,0
307510,0,0
309247,0,0
310981,0,0
312722,0,0
314460,0,0
316201,0,0
317935,0,0
319672,0,0
321407,0,0
323144,0,0
324878,0,0
326617,0,0
328351,0,0
330088,0,0
331822,0,0
333562,0,0
335296,0,0
337034,0,0
338770,0,0
340515,0,0
342249,0,0
343986,0,0
345724,0,0
347465,0,0
349203,0,0
350940,0,0
352673,0,0
354415,0,0
356149,0,0
357886,0,0
359620,0,0
361360,0,0
363094,0,0
364831,0,0
366568,0,0
368307,0,0
370042,0,0
371783,0,0
373525,0,0
375262,0,0
376995,0,0
378736,0,0
380474,0,0
382216,0,0
383949,0,0
385686,0,0
387420,0,0
389157,0,0
390891,0,0
392628,0,0
394364,0,0
396101,0,0
397835,0,0
399573,0,0
401309,0,0
403047,0,0
404785,0,0
406528,0,0
408261,0,0
409998,0,0
411736,0,0
413481,0,0
415215,0,0
416952,0,0
418686,0,0
420423,0,0
422157,0,0
423894,0,0
425627,0,0
427368,0,0
429101,0,0
430838,0,0
432573,0,0
434312,0,0
436046,0,0
437787,0,0
439527,0,0
441264,0,0
442998,0,0
444739,0,0
446477,0,0
448218,0,0
449952,0,0
451693,0,0
453427,0,0
455167,0,0
456900,0,0
458638,0,0
460374,0,0
462111,0,0
463845,0,0
465588,0,0
467326,0,0
469065,0,0
470802,0,0
472544,0,0
474277,0,0
476015,0,0
477752,0,0
479495,0,0
481229,0,0
482966,0,0
484702,0,0
486445,0,0
488183,0,0
489921,0,0
491655,0,0
493392,0,0
495126,0,0
496863,0,0
498604,0,0
500345,0,400
502084,0,400
503824,0,400
505563,1,400
507304,1,400
509042,1,400
510786,2,400
512529,2,400
514269,3,400
516005,4,400
517748,4,400
519491,5,400
521230,6,400
522967,7,400
524708,8,400
526451,9,400
528195,10,400
529933,11,400
531674,12,400
533413,14,400
535154,15,400
536892,16,400
538633,18,400
540372,19,400
542113,21,400
543850,22,400
545595,24,400
547337,25,400
549078,27,400
550816,28,400
552563,30,400
554301,32,400
556044,34,400
557781,35,400
559529,37,400
561267,39,400
563008,41,400
564749,43,400
566497,45,400
568235,47,400
569976,49,400
571717,51,400
573463,53,400
575204,55,400
576945,57,400
578683,59,400
580424,61,400
582162,63,400
583903,65,400
585642,67,400
587385,69,400
589123,71,400
590864,74,400
592608,76,400
594351,78,400
596088,80,400
597829,83,400
599572,85,400
601314,87,400
603052,89,400
604795,91,400
606538,94,400
608279,96,400
610017,98,400
611760,101,400
613505,103,400
615247,105,400
616985,107,400
618731,110,400
620474,112,400
622220,114,400
623959,117,400
625703,119,400
627447,122,400
629193,124,400
630932,126,400
632674,129,400
634415,131,400
636157,133,400
637895,136,400
639637,138,400
641377,141,400
643119,143,400
644858,145,400
646603,148,400
648346,150,400
650088,153,400
651826,155,400
653572,157,400
655313,160,400
657055,162,400
658796,165,400
660542,167,400
662280,170,400
664023,172,400
665764,175,400
667508,177,400
669247,180,400
670989,182,400
672731,184,400
674481,187,400
676220,189,400
677962,192,400
679702,194,400
681451,197,400
683194,199,400
684936,202,400
686674,204,400
688419,207,400
690158,209,400
691900,212,400
693639,214,400
695384,216,400
697123,219,400
698865,221,400
700609,224,400
702353,226,400
704091,229,400
705833,231,400
707575,234,400
709319,236,400
711057,239,400
712801,241,400
714544,244,400
716286,246,400
718025,249,400
719766,251,400
721509,254,400
723251,256,400
724990,258,400
726735,261,400
728481,263,400
730223,266,400
731962,268,400
733706,271,400
735451,273,400
737197,276,400
738936,278,400
740678,281,400
742420,283,400
744162,286,400
745900,288,400
747643,291,400
749385,293,400
751127,296,400
752865,298,400
754609,301,400
756351,303,400
758093,306,400
759832,308,400
761576,311,400
763316,313,400
765058,316,400
766799,318,400
768544,321,400
770283,323,400
772025,326,400
773766,328,400
775512,331,400
777251,333,400
778993,336,400
780735,338,400
782486,341,400
784224,343,400
785966,346,400
787707,348,400
789458,351,400
791200,353,400
792942,356,400
794681,358,400
796423,361,400
798162,363,400
799904,366,400
801644,368,400
803386,371,400
805125,373,400
806867,376,400
808609,378,400
810353,381,400
812091,383,400
813833,386,400
815576,388,400
817319,391,400
819058,393,400
820801,396,400
822544,398,400
824286,401,400
826025,403,400
827766,406,400
829511,408,400
831253,411,400
832991,413,400
834738,416,400
