Time_us,Ticks,PWM
7,0,0
1842,0,0
3581,0,0
5308,0,0
7039,0,0
8767,0,0
10501,0,0
12227,0,0
13959,0,0
15685,0,0
17417,0,0
19144,0,0
20875,0,0
22606,0,0
24344,0,0
26070,0,0
27802,0,0
29533,0,0
31265,0,0
32991,0,0
34727,0,0
36458,0,0
38193,0,0
39920,0,0
41651,0,0
43378,0,0
45110,0,0
46836,0,0
48570,0,0
50298,0,0
52031,0,0
53758,0,0
55492,0,0
57219,0,0
58950,0,0
60677,0,0
62411,0,0
64137,0,0
65869,0,0
67598,0,0
69332,0,0
71061,0,0
72793,0,0
74526,0,0
76258,0,0
77984,0,0
79720,0,0
81452,0,0
83188,0,0
84914,0,0
86646,0,0
88376,0,0
90107,0,0
91834,0,0
93569,0,0
95298,0,0
97031,0,0
98758,0,0
100492,0,0
102220,0,0
103952,0,0
105680,0,0
107414,0,0
109141,0,0
110873,0,0
112604,0,0
114344,0,0
116071,0,0
117803,0,0
119534,0,0
121267,0,0
122994,0,0
124730,0,0
126462,0,0
128199,0,0
129926,0,0
131659,0,0
133386,0,0
135119,0,0
136846,0,0
138584,0,0
140314,0,0
142046,0,0
143774,0,0
145514,0,0
147242,0,0
148974,0,0
150704,0,0
152438,0,0
154170,0,0
155902,0,0
157631,0,0
159365,0,0
161093,0,0
162825,0,0
164557,0,0
166290,0,0
168018,0,0
169752,0,0
171488,0,0
173220,0,0
174948,0,0
176680,0,0
178411,0,0
180144,0,0
181871,0,0
183609,0,0
185341,0,0
187074,0,0
188801,0,0
190537,0,0
192265,0,0
193997,0,0
195729,0,0
197465,0,0
199197,0,0
200929,0,0
202657,0,0
204390,0,0
206118,0,0
207850,0,0
209583,0,0
211319,0,0
213047,0,0
214783,0,0
216519,0,0
218251,0,0
219979,0,0
221716,0,0
223449,0,0
225186,0,0
226913,0,0
228646,0,0
230377,0,0
232109,0,0
233837,0,0
235571,0,0
237300,0,0
239033,0,0
240765,0,0
242503,0,0
244231,0,0
245964,0,0
247695,0,0
249427,0,0
251155,0,0
252887,0,0
254615,0,0
256348,0,0
258076,0,0
259808,0,0
261540,0,0
263272,0,0
265000,0,0
266737,0,0
268468,0,0
270203,0,0
271931,0,0
273663,0,0
275392,0,0
277125,0,0
278852,0,0
280591,0,0
282322,0,0
284055,0,0
285786,0,0
287525,0,0
289253,0,0
290985,0,0
292717,0,0
294454,0,0
296186,0,0
297919,0,0
299647,0,0
301380,0,0
303107,0,0
304840,0,0
306571,0,0
308305,0,0
310034,0,0
311768,0,0
313502,0,0
315234,0,0
316962,0,0
318698,0,0
320426,0,0
322158,0,0
323886,0,0
325618,0,0
327347,0,0
329079,0,0
330807,0,0
332544,0,0
334272,0,0
336004,0,0
337736,0,0
339473,0,0
341205,0,0
342937,0,0
344665,0,0
346400,0,0
348127,0,0
349860,0,0
351593,0,0
353327,0,0
355059,0,0
356794,0,0
358527,0,0
360259,0,0
361987,0,0
363724,0,0
365456,0,0
367192,0,0
368920,0,0
370652,0,0
372380,0,0
374112,0,0
375840,0,0
377573,0,0
379303,0,0
381037,0,0
382767,0,0
384502,0,0
386230,0,0
387963,0,0
389694,0,0
391426,0,0
393154,0,0
394886,0,0
396614,0,0
398348,0,0
400075,0,0
401808,0,0
403539,0,0
405272,0,0
406999,0,0
408736,0,0
410468,0,0
412204,0,0
413931,0,0
415664,0,0
417393,0,0
419125,0,0
420853,0,0
422592,0,0
424322,0,0
426056,0,0
427787,0,0
429526,0,0
431254,0,0
432986,0,0
434718,0,0
436455,0,0
438187,0,0
439919,0,0
441647,0,0
443380,0,0
445107,0,0
446840,0,0
448571,0,0
450305,0,0
452034,0,0
453768,0,0
455502,0,0
457234,0,0
458962,0,0
