Time_us,Ticks,PWM
9,0,0
1840,0,0
3588,0,0
5323,0,0
7060,0,0
8794,0,0
10533,0,0
12266,0,0
14002,0,0
15738,0,0
17483,0,0
19215,0,0
20951,0,0
22684,0,0
24420,0,0
26153,0,0
27889,0,0
29622,0,0
31360,0,0
33092,0,0
34828,0,0
36566,0,0
38304,0,0
40038,0,0
41774,0,0
43514,0,0
45251,0,0
46983,0,0
48724,0,0
50461,0,0
52201,0,0
53934,0,0
55670,0,0
57405,0,0
59141,0,0
60873,0,0
62613,0,0
64347,0,0
66083,0,0
67816,0,0
69558,0,0
71290,0,0
73027,0,0
74760,0,0
76503,0,0
78235,0,0
79972,0,0
81704,0,0
83449,0,0
85186,0,0
86922,0,0
88655,0,0
90392,0,0
92125,0,0
93861,0,0
95597,0,0
97336,0,0
99070,0,0
100806,0,0
102544,0,0
104281,0,0
106015,0,0
107754,0,0
109494,0,0
111231,0,0
112965,0,0
114704,0,0
116445,0,0
118186,0,0
119920,0,0
121657,0,0
123391,0,0
125128,0,0
126861,0,0
128603,0,0
130345,0,0
132082,0,0
133816,0,0
135558,0,0
137292,0,0
139030,0,0
140767,0,0
142506,0,0
144240,0,0
145977,0,0
147714,0,0
149456,0,0
151194,0,0
152931,0,0
154664,0,0
156403,0,0
158137,0,0
159874,0,0
161613,0,0
163351,0,0
165084,0,0
166821,0,0
168560,0,0
170298,0,0
172033,0,0
173770,0,0
175508,0,0
177245,0,0
178978,0,0
180719,0,0
182457,0,0
184199,0,0
185932,0,0
187669,0,0
189405,0,0
191142,0,0
192875,0,0
194616,0,0
196351,0,0
198088,0,0
199821,0,0
201561,0,0
203296,0,0
205034,0,0
206769,0,0
208511,0,0
210244,0,0
211981,0,0
213719,0,0
215460,0,0
217198,0,0
218935,0,0
220669,0,0
222409,0,0
224142,0,0
225879,0,0
227616,0,0
229354,0,0
231088,0,0
232825,0,0
234561,0,0
236300,0,0
238035,0,0
239772,0,0
241510,0,0
243247,0,0
244980,0,0
246722,0,0
248459,0,0
250201,0,0
251934,0,0
253671,0,0
255407,0,0
257144,0,0
258878,0,0
260616,0,0
262351,0,0
264088,0,0
265821,0,0
267561,0,0
269296,0,0
271034,0,0
272769,0,0
274511,0,0
276244,0,0
277981,0,0
279719,0,0
281460,0,0
283198,0,0
284935,0,0
286669,0,0
288408,0,0
290142,0,0
291879,0,0
293616,0,0
295354,0,0
297088,0,0
298825,0,0
300561,0,0
302300,0,0
304035,0,0
305772,0,0
307510,0,0
309247,0,0
310980,0,0
312721,0,0
314459,0,0
316200,0,0
317934,0,0
319671,0,0
321406,0,0
323143,0,0
324877,0,0
326616,0,0
328351,0,0
330088,0,0
331821,0,0
333561,0,0
335296,0,0
337034,0,0
338769,0,0
340511,0,0
342244,0,0
343981,0,0
345719,0,0
347460,0,0
349198,0,0
350935,0,0
352668,0,0
354408,0,0
356141,0,0
357878,0,0
359614,0,0
361353,0,0
363086,0,0
364823,0,0
366560,0,0
368299,0,0
370034,0,0
371771,0,0
373509,0,0
375246,0,0
376980,0,0
378721,0,0
380459,0,0
382200,0,0
383933,0,0
385670,0,0
387406,0,0
389143,0,0
390876,0,0
392616,0,0
394351,0,0
396088,0,0
397821,0,0
399561,0,0
401296,0,0
403034,0,0
404769,0,0
406511,0,0
408244,0,0
409981,0,0
411719,0,0
413460,0,0
415198,0,0
416935,0,0
418669,0,0
420409,0,0
422142,0,0
423879,0,0
425616,0,0
427356,0,0
429089,0,0
430826,0,0
432561,0,0
434300,0,0
436035,0,0
437772,0,0
439510,0,0
441247,0,0
442980,0,0
444722,0,0
446459,0,0
448201,0,0
449934,0,0
451671,0,0
453407,0,0
455144,0,0
456878,0,0
458616,0,0
460351,0,0
462088,0,0
463821,0,0
465561,0,0
467296,0,0
469034,0,0
470770,0,0
472516,0,0
474249,0,0
475986,0,0
477724,0,0
479466,0,0
481203,0,0
482940,0,0
484674,0,0
486414,0,0
488148,0,0
489885,0,0
491619,0,0
493360,0,0
495093,0,0
496831,0,0
498567,0,0
500306,0,400
502045,0,400
503788,0,400
505530,0,400
507270,0,400
509006,1,400
510750,1,400
512492,2,400
514232,2,400
515968,3,400
517708,4,400
519453,5,400
521196,5,400
522932,6,400
524672,7,400
526410,8,400
528150,9,400
529886,11,400
531627,12,400
533365,13,400
535106,14,400
536844,16,400
538590,17,400
540333,18,400
542077,20,400
543814,21,400
545562,23,400
547300,24,400
549043,26,400
550781,28,400
552528,29,400
554266,31,400
556007,33,400
557749,34,400
559496,36,400
561234,38,400
562975,40,400
564717,42,400
566462,44,400
568204,45,400
569945,47,400
571682,49,400
573424,51,400
575162,53,400
576903,55,400
578642,57,400
580384,59,400
582122,61,400
583863,63,400
585607,65,400
587350,67,400
589088,69,400
590829,71,400
592571,73,400
594314,76,400
596052,78,400
597795,80,400
599538,82,400
601279,84,400
603017,86,400
604761,88,400
606504,91,400
608245,93,400
609983,95,400
611728,97,400
613470,99,400
615215,102,400
616954,104,400
618699,106,400
620439,108,400
622183,111,400
623922,113,400
625664,115,400
627408,117,400
629150,120,400
630888,122,400
632630,124,400
634369,127,400
636111,129,400
637850,131,400
639596,133,400
641338,136,400
643080,138,400
644819,140,400
646565,143,400
648305,145,400
650048,147,400
651791,150,400
653540,152,400
655278,154,400
657020,157,400
658761,159,400
660506,161,400
662245,164,400
663987,166,400
665730,168,400
667476,171,400
669218,173,400
670960,175,400
672701,178,400
674450,180,400
676193,182,400
677935,185,400
679673,187,400
681419,189,400
683157,192,400
684899,194,400
686638,197,400
688384,199,400
690122,201,400
691864,204,400
693608,206,400
695352,208,400
697091,211,400
698833,213,400
700575,216,400
702318,218,400
704057,220,400
705801,223,400
707543,225,400
709285,227,400
711024,230,400
712766,232,400
714508,235,400
716250,237,400
717989,239,400
719735,242,400
721481,244,400
723223,247,400
724961,249,400
726705,251,400
728450,254,400
730197,256,400
731935,259,400
733677,261,400
735419,263,400
737161,266,400
738900,268,400
740643,271,400
742384,273,400
744126,275,400
745865,278,400
747609,280,400
749351,283,400
751093,285,400
752832,287,400
754575,290,400
756315,292,400
758057,295,400
759798,297,400
761544,299,400
763282,302,400
765025,304,400
766765,307,400
768512,309,400
770250,311,400
771992,314,400
773735,316,400
775486,319,400
777224,321,400
778966,324,400
780707,326,400
782457,328,400
784200,331,400
785942,333,400
787680,336,400
789423,338,400
791162,340,400
792904,343,400
794643,345,400
796386,348,400
798125,350,400
799867,353,400
801608,355,400
803352,357,400
805091,360,400
806833,362,400
808575,365,400
810318,367,400
812057,369,400
813801,372,400
815543,374,400
817285,377,400
819024,379,400
820766,382,400
822509,384,400
824251,386,400
825989,389,400
827735,391,400
829481,394,400
831223,396,400
832961,399,400
834706,401,400
836450,403,400
838197,406,400
839936,408,400
841678,411,400
843419,413,400
845161,415,400
846899,418,400
848642,420,400
850384,423,400
852126,425,400
853865,428,400
855609,430,400
857351,432,400
859093,435,400
860832,437,400
862576,440,400
864315,442,400
866057,445,400
867798,447,400
869544,449,400
871283,452,400
873025,454,400
874766,457,400
876512,459,400
878251,461,400
879993,464,400
881735,466,400
883485,469,400
885224,471,400
886966,473,400
888707,476,400
890457,478,400
892200,481,400
893942,483,400
895680,485,400
897423,488,400
899161,490,400
900903,493,400
902643,495,400
904386,497,400
906124,500,400
907866,502,400
909608,505,400
911352,507,400
913091,509,400
914833,512,400
916575,514,400
918318,517,400
920057,519,400
921801,521,400
923543,524,400
925285,526,400
927024,529,400
928766,531,400
930508,534,400
932251,536,400
933989,538,400
935735,541,400
937481,543,400
939223,546,400
940961,548,400
942705,550,400
944450,553,400
946197,555,400
947935,558,400
949677,560,400
951419,562,400
953161,565,400
954899,567,400
956643,570,400
958384,572,400
960126,575,400
961865,577,400
963608,579,400
965351,582,400
967093,584,400
968832,587,400
970575,589,400
972315,591,400
974057,594,400
975798,596,400
977544,599,400
979282,601,400
981025,603,400
982765,606,400
984512,608,400
986250,611,400
987992,613,400
989735,615,400
991485,618,400
993225,620,400
994967,623,400
996708,625,400
998457,627,400
1000199,630,400
1001942,632,400
1003682,635,400
1005425,637,400
1007164,639,400
1008907,642,400
1010648,644,400
1012391,647,400
1014132,649,400
1015875,652,400
1017619,654,400
1019363,656,400
1021102,659,400
1022845,661,400
1024590,664,400
1026339,666,400
1028078,668,400
1029821,671,400
1031566,673,400
1033311,676,400
1035051,678,400
1036796,681,400
1038540,683,400
1040282,685,400
1042022,688,400
1043767,690,400
1045510,693,400
1047254,695,400
1048993,698,400
1050740,700,400
1052488,702,400
1054231,705,400
1055971,707,400
1057718,710,400
1059462,712,400
1061209,714,400
1062949,717,400
1064695,719,400
1066435,722,400
1068182,724,400
1069921,727,400
1071664,729,400
1073408,731,400
1075151,734,400
1076891,736,400
1078633,739,400
1080374,741,400
1082117,743,400
1083857,746,400
1085604,748,400
1087349,751,400
1089093,753,400
1090833,755,400
1092577,758,400
1094318,760,400
1096061,763,400
1097802,765,400
1099549,768,400
1101289,770,400
1103032,772,400
1104773,775,400
1106525,777,400
1108264,780,400
1110007,782,400
1111751,784,400
1113499,787,400
1115239,789,400
1116982,792,400
1118725,794,400
1120473,797,400
1122216,799,400
1123959,801,400
1125702,804,400
1127451,806,400
1129195,809,400
1130938,811,400
1132677,813,400
1134422,816,400
1136162,818,400
1137905,821,400
1139645,823,400
1141389,826,400
1143128,828,400
1144871,830,400
1146613,833,400
1148360,835,400
1150100,838,400
1151843,840,400
1153583,842,400
1155331,845,400
1157072,847,400
1158814,850,400
1160560,852,400
1162304,854,400
1164045,857,400
1165792,859,400
1167535,862,400
1169278,864,400
1171017,867,400
1172762,869,400
1174508,871,400
1176251,874,400
1177991,876,400
1179738,879,400
1181485,881,400
1183228,883,400
1184968,886,400
1186711,888,400
1188458,891,400
1190205,893,400
1191944,895,400
1193687,898,400
1195427,900,400
1197173,903,400
1198912,905,400
1200657,908,400
1202397,910,400
